A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
A00012,Job and his Family,Line engraving on paper,,,"Job, Job, chapter 1, prayer, book - non-specific, instrument, horn, instrument, stringed, boy, girl, group, kneeling, man, woman, church, townscape, distant, evening, sunset, hill, moon, sheep, tree, family","1828, reprinted 1874"
,,,,,,
A00013,Satan before the Throne of God,Line engraving on paper,,,"God, Heaven, Satan, Job, ""Jobs wife"", Job, chapter 1, angel, beard, male, man, woman, caption, printed text, quotation, family, reading, sheep, shepherd / shepherdess, trellis","1825, reprinted 1874"
,,,,,,
A00014,Job’s Sons and Daughters Overwhelmed by Satan,Line engraving on paper   ,,,"Job, chapter 1, Satan, arm/arms raised, crouching, falling, group, male, man, rescuing, brother, sister, death, caption, printed text, quotation, column, residential, destruction, wind, wing","1825, reprinted 1874"
,,,,,,
A00015,The Messengers tell Job of his Misfortunes,Line engraving on paper,,,"Job, Job, chapter 1, Satan, prayer, hand/hands raised, running, sitting, religious, sheep","1825, reprinted 1874"
,,,,,,
A00016,"Satan Going Forth from the Presence of the Lord, and Job’s Charity",Line engraving on paper,,,"Genesis, chapter 6, Job, ""Jobs wife"", Job, chapter 2, Job, chapter 30, Psalms, 104, God, Heaven, Satan, angel, beard, disability, falling, group, looking / watching, male, man, woman, charity, husband, wife, crutch, standing stone","1825, reprinted 1874"
,,,,,,
A00017,Satan Smiting Job with Sore Boils,Line engraving on paper,,,"Job, ""Jobs wife"", Job, chapter 2, Satan, salvation, arm/arms raised, boils, pain, male, man, woman, weeping, cloud, sea, sunset, despair, townscape, distant","1825, reprinted 1874"
,,,,,,
A00018,Job’s Comforters,Line engraving on paper,,,"Job, ""Jobs wife"", Job, chapter 2, arm/arms raised, beard, comforting, weeping, group, man, woman, hill, suffering, townscape, townscape, distant","1825, reprinted 1874"
,,,,,,
A00019,Job’s Despair,Line engraving on paper,,,"Job, Job, chapter 3, grief, hand/hands raised, head in hand/hands, kneeling, religious","1825, reprinted 1874"
,,,,,,
A00020,The Vision of Eliphaz,Line engraving on paper,,,"Eliphaz, Job, Job, chapter 4, God, vision, hand/hands raised, looking up, man, old, woman, religious","1825, reprinted 1874"
,,,,,,
A00021,Job Rebuked by his Friends,Line engraving on paper,,,"Job, ""Jobs wife"", Job, chapter 12, Job, chapter 13, Job, chapter 14, Job, chapter 19, attacking, pointing, weeping, beard, group, kneeling, man, woman, caption, printed text, quotation, mountain, shame, suffering","1825, reprinted 1874"
,,,,,,
A00022,Job’s Evil Dreams,Line engraving on paper,,,"2 Corinthians, chapter 11, Hell, Satan, Job, Job, chapter 19, Job, chapter 20, Job, chapter 30, Job, chapter 7, vision, caption, printed text, quotation, dreaming, lying down, man, sleeping, fire, serpent, suffering","1825, reprinted 1874"
,,,,,,
A00023,The Wrath of Elihu,Line engraving on paper,,,"Elihu, Job, ""Jobs wife"", Job, chapter 1, Job, chapters 32-5, ""Raphael, drawing, The Blinding of Elymas"", anger, beard, crouching, gesticulating, talking, group, listening, man, man, old, woman, caption, printed text, quotation, husband, wife, night, star, townscape, distant","1825, reprinted 1874"
,,,,,,
A00024,The Lord Answering Job out of the Whirlwind,Line engraving on paper,,,"God, Job, chapter 38, Psalms, 104, angel, prayer, worship, beard, bowing, recoiling, crouching, kneeling, group, man, woman, caption, printed text, quotation, husband, wife, whirlwind","1825, reprinted 1874"
,,,,,,
A00025,When the Morning Stars Sang Together,Line engraving on paper,,,"God, Job, ""Jobs wife"", Job, chapter 38, angel, arm/arms raised, kneeling, man, woman, chariot, creation, horse, serpent, star, religious, time - sun and moon","1825, reprinted 1874"
,,,,,,
A00026,Behemoth and Leviathan,Line engraving on paper,,,"Behemoth, Job, ""Jobs wife"", Job, chapter 11, Job, chapter 12, Job, chapter 36, Job, chapter 37, Leviathan, God, Heaven, Hell, angel, caption, printed text, quotation, crouching, looking / watching, man, woman, pointing, hippopotamus, sea monster, star, husband, wife, power","1825, reprinted 1874"
,,,,,,
A00027,The Fall of Satan,Line engraving on paper,,,"1 Corinthians, chapter 1, John, chapter 12, Luke, chapter 10, Revelation, chapter 12, Book of Life, God, Hell, Last Judgement, Satan, Job, ""Jobs wife"", Job, chapter 11, Job, chapter 26, Job, chapter 36, beard, falling, kneeling, looking / watching, male, man, woman, recoiling, caption, printed text, quotation, fire, husband, wife","1825, reprinted 1874"
,,,,,,
A00028,The Vision of Christ,Line engraving on paper,,,"1 Samuel, chapter 2, Job, ""Jobs wife"", Job, chapter 42, Psalms, 8, God, John, chapter 10, John, chapter 14, John, chapter 3, angel, blessing, worship, arm/arms raised, crouching, head in hand/hands, kneeling, standing, beard, man, recoiling, book, Bible, scroll, caption, printed text, quotation, husband, wife, rays","1825, reprinted 1874"
,,,,,,
A00029,Job’s Sacrifice,Line engraving on paper,,,"Job, Job, chapter 42, Matthew chapter 5, prayer, sacrifice, worship, altar, book, Bible, arm/arms raised, kneeling, man, woman, caption, printed text, quotation, fire, rays, husband, wife","1825, reprinted 1874"
,,,,,,
A00030,Every Man also Gave him a Piece of Money,Line engraving on paper,,,,"1825, reprinted 1874"
,,,,,,
A00031,Job and his Daughters,Line engraving on paper,,,"God, Job, Job, chapter 1, Job, chapter 42, arm/arms raised, crouching, running, sitting, attacking, beard, group, man, old, woman, caption, printed text, quotation, daughter, family, father, instrument, lyre, ploughing, vine, whirlwind","1825, reprinted 1874"
,,,,,,
A00032,Job and his Family Restored to Prosperity,Line engraving on paper,,,"Job, Job, chapter 42, worship, family, group, man, woman, instrument, horn, instrument, stringed, moon, sheep, sunrise, music","1825, reprinted 1874"
,,,,,,
A00033,Sketch for ‘The Four and Twenty Elders Casting their Crowns before the Divine Throne’. Verso: Standing Figure with Arms at his Side,Graphite on paper. Verso: graphite on paper,,,"Apocalypse, Revelation, chapter 4, four and twenty elders, God, Last Judgement, angel, cherub, worship, figure, group, kneeling, throne","c.1803, c.1805–10"
,,,,,,
A00034,‘Europe’: Fragment of Pages 3 and 4,Relief etching and watercolour on paper,,,"""Blake, William, Europe"", cloud, wing, figure, flying, word",1794–c.1830–5
,,,,,,
A00035,Songs of Innocence and of Experience: Infant Sorrow,Relief etching on paper,,,"""Blake, William, Songs of Innocence and of Experience"", baby, bending forward, woman, bed, cradle, curtain, bedroom, mother and child, poem, printed text","1794, reprinted 1831 or later"
,,,,,,
A00036,‘Songs of Innocence and of Experience’: ‘Infant Sorrow’,Relief etching on paper,,,"""Blake, William, Songs of Innocence and of Experience"", baby, bending forward, comforting, woman, bed, cradle, curtain, bedroom, mother and child, poem, printed text","1794, reprinted 1831 or later"
,,,,,,
A00037,‘Songs of Innocence and of Experience’: ‘Spring’,Relief etching on paper,,,"""Blake, William, Songs of Innocence and of Experience"", baby, sitting, woman, innocence, mother and child, poem, printed text, sheep, spring","1794, reprinted 1831 or later"
,,,,,,
A00038,‘Songs of Innocence’: Title-Page,Relief etching on paper,,,,"1789, reprinted 1831 or later"
,,,,,,
A00039,‘Songs of Innocence’: Title-Page,Relief etching on paper,,,"""Blake, William, Songs of Innocence and of Experience"", book - non-specific, ""book, Blake, William, Songs of Innocence and Experience"", child, group, sitting, woman, reading, tree","1789, reprinted 1831 or later"
,,,,,,
A00040,Sketch for ‘Tiriel Supporting the Dying Myratana’. Verso: Sketch for ‘Tiriel Supporting the Dying Myratana’,Graphite on paper. Verso: graphite on paper,,,"""Blake, William, Tiriel"", Tiriel, arms folded, standing, walking, blindness, mental illness, man, old, woman, king",c.1786–9
,,,,,,
A00041,Landscape near Felpham,Graphite and watercolour on paper,,,"England, ""Felpham, St Marys Church"", Felpham, The Turret, Sussex, West, Heaven - sunbeam, church, cottage, house, townscape, distant, windmill, cloud, sunlight, field",c.1800
,,,,,,
A00042,Two Figures in a Decorative Border,Graphite on paper,,,"figure, woman",c.1790
,,,,,,
A00043,Preliminary Sketch for ‘Christ Girding Himself with Strength’. Verso: Standing Figure with One Arm Raised,Graphite on paper. Verso: graphite on paper,,,"Christ, Psalms, 93, figure, man, group, sitting, strength","c.1805, c.1805–10"
,,,,,,
A00044,Lower Half of a Woman Playing a Harp. Verso: Seraphim and Other Drawings,Graphite on paper. Verso: graphite on paper,,,"instrument, harp, music, sitting, woman","c.1785, c.?1807"
,,,,,,
A00045,"St Christopher, Copy from an Engraving? Verso:Part of a Face: Copy from a Plaster Cast: a Daughter of Niobe?",Ink on paper. Verso: graphite on paper,,,"Charon, Orion, cloak, staff, man, walking",?c.1779–80
,,,,,,
A00046,The Crucifixion,Graphite on paper,,,"Crucifixion, arm/arms raised, figure, group, death, mourning, moon, sun",c.1825–7
,,,,,,
A00047,"Composition Sketch, Possibly a Subject from Dante. Verso: A Man Standing over a Figure Reclining on a Bed",Graphite on paper. Verso: graphite on paper,,,"boat, sailing, figure, group","?1824–7, ?c.1800–10"
,,,,,,
A00048,Composition Sketch. Verso: Standing Figure Holding a Spear,Graphite on paper. Verso: graphite on paper,,,"angel, arm/arms raised, figure, group",?c.1805–10
,,,,,,
A00049,Composition Sketch for ‘The Fall of the Rebel Angels’? Verso: Standing Figure with Flaming Hair,Graphite on paper. Verso: graphite on paper,,,"angel, arm/arms raised, crouching, attacking, recoiling, figure",?c.1805–10
,,,,,,
A00050,Tracing of Title-Page of Blake’s ‘Book of Job’,Graphite on paper,,,"""Blake, William, prints, Illustrations of the Book of Job, 1826"", angel, title of work",?c.1826
,,,,,,
A00051,title not known,Watercolour on paper,,,,date not known
,,,,,,
A00052,title not known,Watercolour on paper,,,,date not known
,,,,,,
A00053,title not known,Watercolour on paper,,,,date not known
,,,,,,
A00054,title not known,Watercolour on paper,,,,date not known
,,,,,,
A00055,title not known,Watercolour on paper,,,,date not known
,,,,,,
A00056,title not known,Watercolour on paper,,,,date not known
,,,,,,
A00057,Study of a Woman’s Head,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, individuals: female, woman",1870
,,,,,,
A00058,"Study of a Sleeping Woman’s Head, possibly for ‘The Rose Bower’ in the ‘Briar Rose’ Series",Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, individuals: female, sleeping, woman",c.1871–3
,,,,,,
A00059,Study of a Man’s Head,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, looking up, man",1866
,,,,,,
A00060,Study of a Girl’s Head,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, woman",1866
,,,,,,
A00061,Study of a Standing Woman for ‘The Passing of Venus’,Graphite and watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"standing, woman",1877
,,,,,,
A00062,Study of a Seated Woman for ‘The Passing of Venus’,Graphite and watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"dress, sitting, woman",c.1877
,,,,,,
A00063,Study of Seated Figure for ‘The Garden Court’ in the ‘Briar Rose’ Series,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"drapery, head in hand/hands, sitting, sleeping, woman",c.1873
,,,,,,
A00064,Study of Seated Figure for ‘The Garden Court’ in the ‘Briar Rose’ Series,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"drapery, hat, sitting, woman",c.1873
,,,,,,
A00065,Figure Study for ‘The Rose Bower’ (Briar Rose Series). Verso: Study of the Head of Merlin for ‘The Beguiling of Merlin’,Charcoal and graphite on paper. Verso: graphite on paper,Pre-Raphaelite Brotherhood,19th century,"reclining, sleeping, woman",c.1872–7
,,,,,,
A00066,Three Studies for ‘The Beguiling of Merlin’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Arthurian legend, Merlin, arm, head / face, man, drapery, hat, spell",c.1872–7
,,,,,,
A00067,Studies of a Sleeve,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"cloak, male, man",date not known
,,,,,,
A00068,Kneeling Woman,Chalk on paper,Pre-Raphaelite Brotherhood,19th century,"drapery, kneeling, woman",date not known
,,,,,,
A00069,Stooping Woman,Chalk on paper,Pre-Raphaelite Brotherhood,19th century,"bending forward, woman, drapery",date not known
,,,,,,
A00070,Study of a Female Head for ‘The Hours’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, sleeping, woman",c.1872
,,,,,,
A00071,Female Head,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, sleeping, woman",date not known
,,,,,,
A00072,Ruth and Boaz,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Boaz, Ruth, Ruth, chapter 2, arch, building - non-specific, compassion, corn, farmland, greeting, kneeling, standing, man, woman, harvesting, landowner, sheaf",1879
,,,,,,
A00073,The Finding of Moses,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Exodus, chapter 2, Miriam, Moses, baby, carrying, looking / watching, hiding, sitting, standing, woman, bank, river, reed, basket, crown, compassion, fortification, princess",1879
,,,,,,
A00074,St Alban,Charcoal and graphite on paper,Pre-Raphaelite Brotherhood,19th century,"St Alban, halo, man, standing",1875
,,,,,,
A00075,St Aidan,Charcoal and graphite on paper,,,,1875
,,,,,,
A00076,St Oswald,Charcoal and graphite on paper,Pre-Raphaelite Brotherhood,19th century,"St Oswald, halo, bird - non-specific, cloak, crown, man, standing",1875
,,,,,,
A00077,St Boniface,Charcoal and graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Bible, crosier, mitre, dagger / knife, St Boniface, man, old, standing, vestments",1875
,,,,,,
A00078,Study of the Head of Tristram for ‘The Madness of Sir Tristram’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Malory, Thomas, Sir, Le Morte dArthur"", head / face, man, mental illness",c.1862
,,,,,,
A00079,Two Studies of Tristram for ‘The Madness of Sir Tristram’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Malory, Thomas, Sir, Le Morte dArthur"", hand/hands raised, sitting, male, man, mental illness",c.1862
,,,,,,
A00080,Roundel with the Head of a Warrior,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Achilles, Hector, fortification, head / face, man, helmet, soldier",c.1870–5
,,,,,,
A00081,Roundel with the Head of a Woman,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Cassandra, head / face, woman, hill",c.1870–5
,,,,,,
A00082,Roundel with the Head of a Woman,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Helen of Troy, head / face, woman, river, valley, townscape, distant",c.1870–5
,,,,,,
A00083,Composition Study for ‘The Merciful Knight’. Verso: Study for a Nativity,Graphite on paper. Verso: graphite on paper,Pre-Raphaelite Brotherhood,19th century,"figure, kissing",c.1863
,,,,,,
A00084,Composition Study for ‘The Merciful Knight’. Verso: Composition Study for ‘St Valentine’s Day’,Graphite on paper. Verso: graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Christ, Crucifixion, ""Digby, Kenelm, Sir, The Broad Stone of Honour"", embracing, man, knight",c.1863
,,,,,,
A00085,Composition Study for ‘The Merciful Knight’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Christ, angel, miracle, ""Digby, Kenelm, Sir, The Broad Stone of Honour"", bending forward, kneeling, embracing, man, compassion, crucifix, sculpture, knight, shrine, wooded",c.1863
,,,,,,
A00086,Nude Study of Knight for ‘The Merciful Knight’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Digby, Kenelm, Sir, The Broad Stone of Honour"", climbing, hand/hands raised, looking up, male, man",c.1863
,,,,,,
A00087,Nude Study of the Knight for ‘The Merciful Knight’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Digby, Kenelm, Sir, The Broad Stone of Honour"", climbing, hand/hands raised, looking up, male, man, stair / step",c.1863
,,,,,,
A00088,Study of Knight for ‘The Merciful Knight’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Digby, Kenelm, Sir, The Broad Stone of Honour"", kneeling, man, knight",c.1863
,,,,,,
A00089,Nude Study of Knight for ‘The Merciful Knight’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Digby, Kenelm, Sir, The Broad Stone of Honour"", helmet, kneeling, male, man, platform / stage",c.1863
,,,,,,
A00090,"Study of a Seated Male Nude for ‘The Liberation of St Peter’ in the Church of St Michael and All Angels, Lyndhurst, Hampshire",Graphite and chalk on paper,Pre-Raphaelite Brotherhood,19th century,"head in hand/hands, sitting, male, man, sleeping",c.1863
,,,,,,
A00091,"Two Studies of a Seated Male Nude for ‘The Liberation of St Peter’ in the Church of St Michael and All Angels, Lyndhurst, Hampshire",Graphite and chalk on paper,Pre-Raphaelite Brotherhood,19th century,"head in hand/hands, sitting, male, man, sleeping",c.1863
,,,,,,
A00092,Study for ‘Blind Love’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"man, standing",date not known
,,,,,,
A00093,Study for ‘Blind Love’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"cane, love, man, standing",date not known
,,,,,,
A00094,Study of a Male Figure for ‘Clerk Saunders’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"cloak, man, standing",c.1861
,,,,,,
A00095,Study of a Seated Woman for ‘The Hours’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"sitting, woman",c.1866
,,,,,,
A00096,Study of a Reclining Figure,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"figure, reclining",date not known
,,,,,,
A00097,Head of a Girl,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, woman",c.1861
,,,,,,
A00098,Two Studies for the Head of the King in ‘King Cophetua and the Beggar Maid’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"""Tennyson, Alfred, Lord, The Beggar Maid"", head / face, man",c.1880
,,,,,,
A00099,Head of a Woman: ?Georgiana Burne-Jones,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Burne-Jones, Georgiana, head / face, individuals: female, woman",c.1861
,,,,,,
A00100,Study of Heads for a Pietà,Graphite and chalk on paper,Pre-Raphaelite Brotherhood,19th century,"Christ, Virgin Mary, Pietà, embracing, looking down, man, woman, grief",date not known
,,,,,,
A00101,Head of a Girl,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, woman",date not known
,,,,,,
A00102,Figure Study,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"arm/arms raised, figure",date not known
,,,,,,
A00103,Study of the Head of a Female Attendant for ‘The Adoration of the Kings’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, woman, headscarf",c.1861
,,,,,,
A00104,Study of Iseult for ‘The Marriage of Sir Tristram’. Verso: Figure of Sir Tristram,Graphite on paper. Verso: graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Iseult, ""Malory, Thomas, Sir, Le Morte dArthur"", woman",c.1862
,,,,,,
A00105,Composition Study for ‘Clerk Saunders’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"headdress, historical, Medieval, man, woman",c.1861
,,,,,,
A00106,Head of a Man,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"head / face, individuals: male, man",c.1861
,,,,,,
A00107,Study for Tile of the ‘Story of Beauty and the Beast’. Verso: Study for ‘Wine of Circe’,Graphite on paper. Verso: graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Beauty and the Beast, daughter, father, embracing, group, man, woman, monster","c.1862, c.1863"
,,,,,,
A00108,Study for ‘Pluto and Proserpine Listening to the Music of Orpheus’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Dis / Pluto, Orpheus, Persephone / Proserpina, crown, drapery, instrument, stringed, man, woman, sitting, music",c.1875
,,,,,,
A00109,Sketch of Two Seated Figures: ‘Chant d’Amour’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"couple, instrument, lute, kneeling, sitting, man, woman, landscape - non-specific, love, music",c.1862–5
,,,,,,
A00110,Sketch of Two Seated Figures for ?‘The Backgammon Players’,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"backgammon, man, woman, table",?c.1861
,,,,,,
A00111,Frontispiece: Thenot and Colinet,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", crook, instrument, panpipes, instrument, pipe, happiness, sadness, stupidity, wisdom, hill, sheep, sunset, man, man, old, standing, shepherd / shepherdess","c.1821, printed 1830"
,,,,,,
A00112,Thenot Remonstrates with Colinet,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", arguing, arm/arms raised, standing, man, crook, dog - non-specific, sheep, hill, sunrise, tree, happiness, sadness, shepherd / shepherdess","c. 1821, printed 1830"
,,,,,,
A00113,Thenot and Colinet Converse Seated between Two Trees,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", arm/arms raised, sitting, man, talking, fruit - non-specific, hill, sheep, sun, tree, shepherd / shepherdess","c. 1821, printed 1830"
,,,,,,
A00114,Thenot Remonstrates with Colinet; Lightfoot in the Distance,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", arm/arms raised, running, standing, man, talking, crook, dog - non-specific, sheep, hill, shepherd / shepherdess","c. 1821, printed 1830"
,,,,,,
A00115,"Thenot, with Colinet Waving his Arms in Sorrow",Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", arm/arms raised, standing, man, talking, crook, sadness, sheep, trunk, blasted, valley","c. 1821, printed 1830"
,,,,,,
A00116,The Blighted Corn,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", corn, farmland, moon, night, storm, tree, destruction","c. 1821, printed 1830"
,,,,,,
A00117,"‘Nor Fox, nor Wolf, nor Rat among our Sheep’",Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", crook, gesticulating, protecting, man, running, hill, wooded, sheep, wolf, livestock pen, stable, shepherd / shepherdess","c. 1821, printed 1830"
,,,,,,
A00118,Sabrina’s Silvery Flood,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", cottage, flood, river, sheep, wooded","c. 1821, printed 1830"
,,,,,,
A00119,Colinet’s ‘Fond Desire Strange Lands to Know’,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", exploration, hill, man, walking, milestone, road, signage, townscape, distant","c. 1821, printed 1830"
,,,,,,
A00120,‘A Rolling Stone is ever Bare of Moss’,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", classical, country house, path, man, pulling, walking, roller, wooded","c. 1821, printed 1830"
,,,,,,
A00121,Colinet Rests by a Stream at Night,Wood engraving on paper,,,"""Cambridge, Kings College"", Cambridgeshire, England, ""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", college, dog - non-specific, sheep, moon, night, stream, tree, man, reclining, shepherd / shepherdess, staff","c. 1821, printed 1830"
,,,,,,
A00122,"Colinet with his Shepherd’s Pipe, Mocked by Two Boys",Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", instrument, pipe, laughing, pointing, talking, man, music, shepherd / shepherdess, tree","c. 1821, printed 1830"
,,,,,,
A00123,‘For him Our Yearly Wakes and Feasts We Hold’,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", boy, girl, man, woman, building - non-specific, classical, dance, music, instrument, lyre, instrument, violin, shepherd / shepherdess, worship","c. 1821, printed 1830"
,,,,,,
A00124,Thenot and Colinet Folding their Flocks together at Sunset,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", cottage, livestock pen, crook, hill, wooded, sheep, sunset, man, walking, shepherd / shepherdess","c. 1821, printed 1830"
,,,,,,
A00125,Thenot and Colinet at Supper,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", bowl, jug, fruit - non-specific, cottage, eating, living room, man, sitting, talking, moon, star, night, shepherd / shepherdess","c. 1821, printed 1830"
,,,,,,
